transaction_id,date,merchant,description,amount_brl
bench_001,2026-01-03,Uber,UBER *TRIP,18.90
bench_002,2026-01-03,99,99 *CORRIDA,22.40
bench_003,2026-01-04,Uber,UBER EATS,47.80
bench_004,2026-01-05,iFood,IFOOD *RESTAURANTE,83.50
bench_005,2026-01-05,Rappi,RAPPI BRASIL,121.90
bench_006,2026-01-06,Zé Delivery,ZE DELIVERY BEBIDAS,96.70
bench_007,2026-01-07,Pão de Açúcar,PAO DE ACUCAR,356.22
bench_008,2026-01-07,Carrefour,CARREFOUR HIPER,129.48
bench_009,2026-01-08,Mercado Livre,MERCADOLIVRE*PAGAMENTO,682.10
bench_010,2026-01-08,Amazon,AMZN MKTP BR,249.99
bench_011,2026-01-09,Drogasil,DROGASIL 000123,41.32
bench_012,2026-01-09,Hospital São Lucas,HOSP SAO LUCAS,2450.00
bench_013,2026-01-10,Petlove,PETLOVE*ASSINATURA,89.90
bench_014,2026-01-10,Cobasi,COBASI PET,194.60
bench_015,2026-01-11,Shell,SHELL BOX,285.00
bench_016,2026-01-11,Estapar,ESTAPAR ESTACIONAMENTO,32.00
bench_017,2026-01-12,CPFL Energia,CPFL PAULISTA,178.43
bench_018,2026-01-12,Sabesp,SABESP,96.18
bench_019,2026-01-13,Claro,CLARO MOVEL,59.99
bench_020,2026-01-13,Vivo,VIVO CONTROLE,54.99
bench_021,2026-01-14,Netflix,NETFLIX.COM,39.90
bench_022,2026-01-14,Google,GOOGLE*YOUTUBE PREMIUM,24.90
bench_023,2026-01-15,Spotify,SPOTIFY AB,21.90
bench_024,2026-01-15,Steam,STEAMGAMES.COM,159.99
bench_025,2026-01-16,Smart Fit,SMARTFIT ACADEMIA,119.90
bench_026,2026-01-16,Decathlon,DECATHLON BRASIL,499.95
bench_027,2026-01-17,Tok&Stok,TOKSTOK,1840.00
bench_028,2026-01-17,Localiza,LOCALIZA RENT A CAR,780.55
bench_029,2026-01-18,Azul,AZUL LINHAS AEREAS,1320.40
bench_030,2026-01-18,Booking.com,BOOKING.COM,1035.25
bench_031,2026-01-19,Airbnb,AIRBNB * HM,2240.00
bench_032,2026-01-19,Hotel Serra Azul,HOTEL SERRA AZUL,615.00
bench_033,2026-01-20,Alura,ALURA CURSOS ONLINE,79.90
bench_034,2026-01-20,Universidade Exemplo,MENSALIDADE UNIVERSITARIA,1250.00
bench_035,2026-01-21,INSS,PGTO INSS CONTRIBUINTE,412.00
bench_036,2026-01-21,Receita Federal,DARF 0211,1860.00
bench_037,2026-01-22,PIX,PIX ENVIADO JOAO SILVA,600.00
bench_038,2026-01-22,PIX,PIX RECEBIDO ANA SOUZA,-600.00
bench_039,2026-01-23,Loja do João,PG*LOJA DO JOAO,74.32
bench_040,2026-01-23,Pagamento,AJUSTE DE FATURA,-74.32
bench_041,2026-01-24,Uber,UBER *TRIP,3500.00
bench_042,2026-01-24,Google,GOOGLE*ADS 123456,1500.00
bench_043,2026-01-25,Meta,META *ADS,2100.00
bench_044,2026-01-25,Apple,APPLE.COM/BILL,14.90
bench_045,2026-01-26,Adobe,ADOBE*CREATIVE CLOUD,282.00
bench_046,2026-01-26,WeWork,WEWORK BRASIL,980.00
bench_047,2026-01-27,Padaria São Bento,PD S BENTO 24H,12.50
bench_048,2026-01-27,Restaurante Kaori,KAORI RESTAURANTE,780.00
bench_049,2026-01-28,Posto BR,BR MANIA COMBUSTIVEL,420.75
bench_050,2026-01-28,Oficina Mecânica,OFICINA DO ZE,3200.00
bench_051,2026-02-01,Uber,UBER *TRIP,27.50
bench_052,2026-02-01,iFood,IFOOD *LANCHES,36.80
bench_053,2026-02-02,Carrefour,CARREFOUR BAIRRO,62.15
bench_054,2026-02-02,Netflix,NETFLIX BRASIL,39.90
bench_055,2026-02-03,Petlove,PETLOVE*ASSINATURA,89.90
bench_056,2026-02-03,Claro,CLARO MOVEL,59.99
bench_057,2026-02-04,99,99 *CORRIDA,19.80
bench_058,2026-02-04,Shell,POSTO SHELL,310.00
bench_059,2026-02-05,Airbnb,AIRBNB * HM,970.00
bench_060,2026-02-05,PIX,PIX ENVIADO MARIA OLIVEIRA,250.00
