transaction_id,date,merchant,description,amount_brl
tx_0001,2026-01-07,99,99 *CORRIDA,36.0
tx_0002,2026-07-08,Shell,POSTO SHELL,262.71
tx_0003,2026-06-01,Carrefour,CARREFOUR HIPER,78.75
tx_0004,2026-02-25,Carrefour,CARREFOUR,358.16
tx_0005,2026-05-24,Rappi,RAPPI BRASIL,121.66
tx_0006,2026-02-26,Localiza,LOCALIZA,579.63
tx_0007,2026-07-14,iFood,IFOOD *RESTAURANTE,119.25
tx_0008,2026-03-13,Tok&Stok,TOKSTOK,407.28
tx_0009,2026-01-27,Tok&Stok,TOKSTOK,657.49
tx_0010,2026-08-05,LATAM,TAM LINHAS AEREAS,1628.2
tx_0011,2026-07-06,McDonald's,MC DONALDS APP,166.38
tx_0012,2026-01-21,Airbnb,AIRBNB *HM,1867.34
tx_0013,2026-05-28,Azul,AZUL LINHAS AEREAS,1850.06
tx_0014,2026-06-19,McDonald's,MCDONALDS,224.4
tx_0015,2026-08-07,Carrefour,CARREFOUR,571.23
tx_0016,2026-03-13,Airbnb,AIRBNB *HM,1489.58
tx_0017,2026-02-11,Azul,AZUL WEB,1081.6
tx_0018,2026-06-29,Petz,PETZ,255.38
tx_0019,2026-05-17,Netflix,NETFLIX.COM,28.17
tx_0020,2026-03-11,Airbnb,AIRBNB,1585.0
tx_0021,2026-02-28,Outback,OUTBACK STEAKHOUSE,232.24
tx_0022,2026-03-10,Booking.com,BOOKING.COM,661.42
tx_0023,2026-02-24,IKEA,IKEA HOME,681.36
tx_0024,2026-02-06,Cemig,CEMIG,131.66
tx_0025,2026-07-11,Cobasi,COBASI PET,362.19
tx_0026,2026-04-03,Booking.com,BOOKING.COM,2194.79
tx_0027,2026-05-11,Shell,SHELL BOX,104.55
tx_0028,2026-08-09,Outback,OUTBACK STEAKHOUSE,72.45
tx_0029,2026-07-22,Netflix,NETFLIX BRASIL,49.82
tx_0030,2026-04-08,Airbnb,AIRBNB *HM,1281.77
tx_0031,2026-06-24,iFood,IFOOD *LANCHES,40.46
tx_0032,2026-07-16,Petz,PET CENTER COMERCIO,71.27
tx_0033,2026-02-10,Claro,CLARO MOVEL,40.45
tx_0034,2026-05-09,Cobasi,COBASI,217.84
tx_0035,2026-06-10,Uber,UBER DO BRASIL,94.48
tx_0036,2026-02-09,YouTube Premium,YOUTUBE PREMIUM,58.13
tx_0037,2026-06-03,iFood,IFOOD CLUB,90.96
tx_0038,2026-04-03,99,99 *CORRIDA,35.47
tx_0039,2026-05-26,Drogasil,DROGASIL,39.41
tx_0040,2026-07-28,Alura,ALURA,587.67
tx_0041,2026-02-02,Shell,SHELL BOX,335.65
tx_0042,2026-03-09,Netflix,NETFLIX BRASIL,68.22
tx_0043,2026-07-02,YouTube Premium,YOUTUBE PREMIUM,39.95
tx_0044,2026-04-23,Azul,AZUL WEB,566.21
tx_0045,2026-01-17,Smart Fit,SMART FIT ACADEMIA,82.1
tx_0046,2026-05-31,Smart Fit,SMARTFIT,80.72
tx_0047,2026-02-28,Outback,OUTBACK STEAKHOUSE,256.83
tx_0048,2026-01-19,Tok&Stok,TOKSTOK,503.29
tx_0049,2026-02-24,Alura,ALURA,445.08
tx_0050,2026-03-04,Udemy,UDEMY ONLINE,492.2
tx_0051,2026-01-25,YouTube Premium,GOOGLE *YOUTUBE,52.95
tx_0052,2026-04-19,LATAM,TAM LINHAS AEREAS,1327.45
tx_0053,2026-06-22,Outback,OUTBACK STEAKHOUSE,49.85
tx_0054,2026-07-24,Tok&Stok,TOKSTOK,457.96
tx_0055,2026-05-18,YouTube Premium,YOUTUBE PREMIUM,27.01
tx_0056,2026-03-13,Spotify,SPOTIFY AB,32.49
tx_0057,2026-04-24,Pão de Açúcar,PAO DE ACUCAR,89.85
tx_0058,2026-01-24,iFood,IFOOD *RESTAURANTE,47.45
tx_0059,2026-05-04,Alura,ALURA,524.2
tx_0060,2026-02-12,Outback,OUTBACK SHOPPING,35.53
tx_0061,2026-03-09,Airbnb,AIRBNB *HM,806.24
tx_0062,2026-02-09,Alura,ALURA,206.16
tx_0063,2026-05-29,Outback,OUTBACK STEAKHOUSE,218.25
tx_0064,2026-01-13,Outback,OUTBACK SHOPPING,158.2
tx_0065,2026-01-15,Netflix,NETFLIX.COM,62.57
tx_0066,2026-06-02,Pão de Açúcar,PAO DE ACUCAR,458.38
tx_0067,2026-04-14,Drogasil,DROGASIL,283.35
tx_0068,2026-05-29,Drogasil,DROGASIL,191.52
tx_0069,2026-06-18,Localiza,LOCALIZA,849.07
tx_0070,2026-06-21,Cinemark,CINEMARK BRASIL,47.68
tx_0071,2026-02-03,Booking.com,BOOKING BV,1141.59
tx_0072,2026-01-03,Pão de Açúcar,PDA SUPERMERCADO,426.48
tx_0073,2026-01-19,Uber,UBER *TRIP,61.58
tx_0074,2026-03-31,Shell,POSTO SHELL,317.4
tx_0075,2026-03-14,Azul,AZUL LINHAS AEREAS,1264.01
tx_0076,2026-06-06,Mercado Livre,MERCADOLIVRE,475.81
tx_0077,2026-06-19,Mercado Livre,MERCADOLIVRE,658.78
tx_0078,2026-03-09,Shell,POSTO SHELL,320.22
tx_0079,2026-03-11,Estapar,ESTAPAR ESTACIONAMENTO,58.39
